,Name,TenforeId,ReturnM0,ReturnM12,ReturnM36,ReturnM60,StandardDeviationM36,SharpeM36,TrackRecordExtension,ReturnM120,AlphaM36,BetaM36
12787,Man GLG Sust Strat Inc IF H EUR Cap,52.8.IE000ULCE9A2,-0.91,4.92,,,,,False,,,
12788,MFS Meridian Global Credit AH1 EUR,52.8.LU1123738020,-1.48,7.16,-7.84,-2.02,9.93,-0.75,False,,0.88,1.38
12789,MFS Meridian Global Credit WH1 EUR,52.8.LU1307988888,-0.93,7.88,-7.21,-1.42,9.9,-0.68,False,,1.55,1.38
12790,Loomis Sayles Global Credit H-I/A EUR,52.8.LU0411266637,-2.03,2.19,-6.6,-1.44,7.04,-0.91,False,0.14,-0.34,1.0
12791,Loomis Sayles Global Credit H-R/A EUR,52.8.LU0776569955,-2.4,1.68,,,,,False,,,
12792,Loomis Sayles Sust Glbl Corp Bd H-I/AEUR,52.8.LU0477158652,-1.33,3.32,-6.14,,7.29,-0.81,False,,0.39,1.04
12793,New Capital Glbl Val Crdt EUR Inst Acc,52.8.IE00BD610077,-1.81,4.27,-5.57,-1.67,6.92,-0.78,False,,0.18,0.92
12794,New Capital Glbl Val Crdt EUR Ord Acc,52.8.IE0033116579,-2.12,3.84,-5.95,-2.07,6.91,-0.84,False,-0.48,-0.24,0.92
12795,New Capital Glbl Val Crdt EUR Ord Inc,52.8.IE00BTJRM642,-2.13,3.8,-5.95,-2.04,6.94,-0.84,False,,-0.21,0.93
12796,New Capital Glbl Val Crdt EUR X Acc,52.8.IE00BYT3RJ52,-1.33,4.9,-5.0,-1.07,6.92,-0.69,False,,0.77,0.92
12797,Ninety One GSF InvGrdCorpBd A Inc2 EUR H,52.8.LU0416337789,-3.15,2.07,-8.2,-2.26,8.36,-0.95,False,-0.72,-0.84,1.18
12798,PGIM Global Corporate Bond EUR H A Acc,52.8.IE00BDDW9061,-1.58,3.19,-6.7,-1.46,7.35,-0.91,False,,-0.33,1.05
12799,PGIM Global Corporate Bond EUR H I Acc,52.8.IE00BFLQZL78,-1.18,3.71,-6.23,,7.35,-0.84,False,,0.17,1.05
12800,PGIM Global Corporate Bond EUR H P Acc,52.8.IE00BG370M10,-1.3,3.55,-6.35,,7.35,-0.86,False,,0.04,1.05
12801,PIMCO GIS Climate Bond E EUR H Acc,52.8.IE00BLH0ZN77,-1.55,2.74,-6.34,,6.3,-1.01,False,,-1.08,0.87
12802,PIMCO GIS Climate Bond Instl EUR H Acc,52.8.IE00BLH0Z375,-0.82,3.8,-5.51,,6.28,-0.88,False,,-0.22,0.87
12803,PIMCO GIS Climate Bond Instl EUR H Inc,52.8.IE00BN135T23,-0.81,3.73,,,,,False,,,
12804,PIMCO GIS Glb IG Crdt ESG E EUR H Acc,52.8.IE00BKTH5S46,-2.89,1.51,-7.28,,6.95,-1.04,False,,-1.24,0.99
12805,PIMCO GIS Glb IG Crdt ESG EURH Acc,52.8.IE00BFZ89B79,-2.2,2.41,-6.43,-1.2,6.94,-0.91,False,,-0.39,0.99
12806,PIMCO GIS Glb IG Crdt ESG Ins EUR H Inc,52.8.IE00BKTH5L76,-2.11,2.47,-6.41,,6.98,-0.9,False,,-0.31,0.99
12807,PIMCO GIS GlInGd Crdt Admin EURH Acc,52.8.IE00B4WX2D18,-2.0,2.52,-7.02,-2.49,6.88,-1.01,False,-0.2,-1.11,0.96
12808,PIMCO GIS GlInGd Crdt E EURH Acc,52.8.IE00B11XZ434,-2.28,2.1,-7.38,-2.88,6.91,-1.06,False,-0.6,-1.46,0.97
12809,PIMCO GIS GlInGd Crdt E EURH Inc,52.8.IE00B66BK865,-2.23,2.2,-7.37,-2.88,6.89,-1.06,False,-0.59,-1.47,0.96
12810,PIMCO GIS GlInGd Crdt Instl EURH Acc,52.8.IE0032876397,-1.61,2.99,-6.55,-2.0,6.91,-0.93,False,0.3,-0.57,0.97
12811,PIMCO GIS GlInGd Crdt Instl EURH Inc,52.8.IE00B3D1YW09,-1.64,3.03,-6.56,-2.0,6.89,-0.93,False,0.3,-0.56,0.96
12812,PIMCO GIS GlInGd Crdt Inv EURH Acc,52.8.IE00B063CF11,-1.89,2.64,-6.88,-2.36,6.91,-0.98,False,-0.05,-0.91,0.97
12813,PIMCO GIS GlInGd Crdt Inv EURH Inc,52.8.IE00B3KQH291,-1.81,2.69,-6.87,-2.35,6.9,-0.98,False,-0.04,-0.93,0.97
12814,PIMCO GIS GlInGd Crdt W EUR H Acc,52.8.IE00BLCB6D23,-1.44,3.15,-6.47,,6.98,-0.91,False,,-0.42,0.98
12815,PIMCO GIS GlInGd Crdt W EUR H Inc,52.8.IE00BLCB6F47,-1.43,3.2,-6.45,,6.98,-0.91,False,,-0.41,0.98
12816,PIMCO GIS Lw Dur GlInGd Crdt E EUR H Acc,52.8.IE00BJTCP712,-0.11,1.66,-3.35,-1.62,3.06,-1.19,False,,-1.17,0.4
12817,PIMCO GIS Lw Dur GlInGd CrdtIns EURH Acc,52.8.IE00BJTCNZ54,0.6,2.56,-2.47,-0.72,3.1,-0.87,False,,-0.25,0.4
12818,PIMCO GIS Lw Dur GlInGd CrdtIns EurHDis,52.8.IE0007A2CVR4,0.63,2.56,,,,,False,,,
12819,PWM Global Corporate Def HD EUR Acc,52.8.LU2132617460,-0.53,1.96,-4.79,,4.54,-1.1,False,,-1.17,0.62
12820,PWM Global Corporate Def HD EUR Inc,52.8.LU2132617627,-0.54,1.96,-4.79,,4.54,-1.09,False,,-1.17,0.62
12821,R-co 4Change Green Bonds C EUR,52.8.FR0013513132,0.66,3.45,-5.16,,5.78,-0.9,False,,-0.68,0.74
12822,R-co 4Change Green Bonds IC EUR,52.8.FR0013513140,0.95,3.8,-4.82,,5.78,-0.84,False,,-0.33,0.74
12823,R-co 4Change Green Bonds P EUR,52.8.FR0013513165,0.88,3.7,-4.92,,5.78,-0.86,False,,-0.43,0.74
12824,Robeco Global Credits DH EUR,52.8.LU1362999564,-2.28,3.23,-6.63,-1.12,7.56,-0.86,False,,-0.04,1.07
12825,Robeco Global Credits FH EUR,52.8.LU1685737402,-1.99,3.58,-6.27,-0.74,7.55,-0.81,False,,0.35,1.07
12826,Robeco Global Credits IH EUR,52.8.LU1071420456,-1.89,3.73,-6.19,-0.67,7.55,-0.8,False,,0.43,1.07
12827,Robeco Global Credits Short Matrty FH €,52.8.LU2207422028,1.35,3.78,-2.46,,3.36,-0.82,False,,0.01,0.45
12828,Robeco Global Credits Short Matrty IH €,52.8.LU1648456215,1.4,3.83,-2.4,-0.32,3.36,-0.8,False,,0.08,0.45
12829,Robeco Global Credits Short Matrty M2H €,52.8.LU1857098336,0.74,3.01,-3.15,-1.12,3.35,-1.04,False,,-0.7,0.45
12830,Robeco QI Glbl Multi-Factor Crdts IH €,52.8.LU1235145213,-2.29,1.91,-6.27,-1.34,6.74,-0.92,False,,-0.43,0.96
12831,RobecoSAM Climate Global Credits DH EUR,52.8.LU2258387559,-2.84,2.32,,,,,False,,,
12832,RobecoSAM Climate Global Credits FH EUR,52.8.LU2258387633,-2.52,2.74,,,,,False,,,
12833,RobecoSAM Climate Global Credits IH EUR,52.8.LU2258387716,-2.46,2.81,,,,,False,,,
12834,RobecoSAM Global SDG Credits CH €,52.8.LU1811861274,-2.65,3.16,-6.76,-1.13,7.42,-0.91,False,,-0.4,1.05
12835,RobecoSAM Global SDG Credits DH €,52.8.LU1811861357,-2.96,2.69,-7.13,-1.41,7.43,-0.96,False,,-0.79,1.05
12836,RobecoSAM Global SDG Credits FH €,52.8.LU2055796564,-2.62,3.2,-6.73,,7.43,-0.91,False,,-0.36,1.05
12837,RobecoSAM Global SDG Credits IH €,52.8.LU1811861431,-2.58,3.25,-6.68,-1.07,7.43,-0.9,False,,-0.3,1.05
12838,Rubrics Global Credit UCITS B EUR,52.8.IE00BHCR9222,-0.69,1.25,-3.05,-1.09,3.64,-0.89,False,,-0.34,0.48
12839,Rubrics Global Credit UCITS E EUR,52.8.IE00BCRY5Q93,-1.29,0.5,-3.78,-1.86,3.64,-1.09,False,0.16,-1.09,0.48
12840,Rubrics Global Credit UCITS J EUR,52.8.IE00BD87SY34,-0.87,1.03,-3.25,-1.27,3.64,-0.94,False,,-0.54,0.48
12841,Rubrics Global Credit UCITS PB EUR,,0.44,-2.99,-2.54,-0.96,3.64,-0.68,True,,0.01,0.48
12842,Rubrics Global Credit UCITS PE EUR,,0.05,-3.65,-3.26,-1.68,3.64,-0.89,True,0.44,-0.73,0.48
12843,Schroder ISF Glbl Corp Bd A Acc EUR Hdg,52.8.LU0201324851,-2.17,2.09,-6.73,-1.61,7.13,-0.93,True,-0.13,-0.55,1.0
12844,Schroder ISF Glb Corp Bd A Dis EUR H Q,52.8.LU0201325072,-2.17,2.08,-6.73,-1.62,7.14,-0.93,True,-0.14,-0.54,1.0
12845,Schroder ISF Glbl Corp Bd A1 Acc EUR Hdg,52.8.LU0248179540,-2.53,1.63,-7.15,-2.05,7.14,-0.99,True,-0.58,-0.99,1.0
12846,Schroder ISF Glb Corpo Bd A1 Dis EUR H Q,52.8.LU0671500741,-2.53,1.63,-7.15,-2.06,7.14,-0.99,False,-0.58,-1.0,1.0
12847,Schroder ISF Glbl Corp Bd B Acc EUR Hdg,52.8.LU0203348601,-2.57,1.58,-7.19,-2.1,7.13,-1.0,True,-0.63,-1.04,1.0
12848,Schroder ISF Glb Corp Bd B Dis EUR H Q,52.8.LU0671500824,-2.57,1.57,-7.2,-2.11,7.14,-1.0,False,-0.63,-1.05,1.0
12849,Schroder ISF Glbl Corp Bd C Acc EUR Hdg,52.8.LU0713761251,-1.86,2.49,-6.35,-1.22,7.14,-0.87,True,0.27,-0.15,1.0
12850,Schroder ISF Glbl Corp Bd C Dis EUR H AV,52.8.LU0856522817,-1.86,2.48,-6.36,-1.22,7.15,-0.87,False,0.25,-0.15,1.0
12851,SWC (LU) BF Responsible Glbl Crp ATH EUR,52.8.LU0494188096,-2.42,2.85,-6.84,-1.78,7.86,-0.84,False,0.16,0.08,1.11
12852,SWC (LU) BF Responsible Glbl Crp BTH EUR,52.8.LU0999469389,-2.32,3.04,-6.49,-1.41,7.87,-0.79,True,0.48,0.46,1.11
12853,SWC (LU) BF Responsible Glbl Crp DTH EUR,52.8.LU0494188682,-1.96,3.41,-6.27,-1.19,7.86,-0.76,False,0.74,0.69,1.11
12854,SWC (LU) BF Responsible Glbl Crp GTH EUR,52.8.LU0899938228,-1.88,3.53,-6.21,-1.12,7.88,-0.75,False,0.81,0.76,1.11
12855,Threadneedle (Lux) Glbl Corp Bd AEC,52.8.LU1062006454,-1.93,2.86,-6.88,-1.17,7.65,-0.88,False,,-0.11,1.09
12856,Threadneedle (Lux) Glbl Corp Bd AEH,52.8.LU1062005308,-1.93,2.86,-6.87,-1.16,7.65,-0.88,False,,-0.1,1.09
12857,Threadneedle (Lux) Glbl Corp Bd DEC,52.8.LU1062007007,-2.52,2.1,-7.57,-1.93,7.64,-0.98,False,,-0.86,1.09
12858,Threadneedle (Lux) Glbl Corp Bd DEH,52.8.LU1062006967,-2.52,2.1,-7.56,-1.89,7.65,-0.97,False,,-0.84,1.09
12859,Threadneedle (Lux) Glbl Corp Bd IEC,52.8.LU1815332348,-1.65,3.27,-6.65,-0.96,7.65,-0.84,False,,0.14,1.09
12860,Threadneedle (Lux) Glbl Corp Bd IEH,52.8.LU1062007346,-1.68,3.17,-6.65,-0.96,7.65,-0.84,False,,0.14,1.09
12861,Threadneedle (Lux) Glbl Corp Bd NEC,52.8.LU1815332850,-1.61,3.3,-6.51,-0.76,7.65,-0.82,False,,0.3,1.09
12862,Threadneedle (Lux) Glbl Corp Bd ZEH,52.8.LU1504938975,-1.73,3.12,-6.64,-0.94,7.66,-0.84,False,,0.16,1.09
12863,UBAM Corporate Green Bond AC EUR,52.8.LU2351045559,1.02,4.58,,,,,False,,,
12864,UBAM Corporate Green Bond IC EUR,52.8.LU2351049460,1.31,4.95,,,,,False,,,
12865,UBAM Corporate Green Bond UC EUR,52.8.LU2351046284,1.15,4.74,,,,,False,,,
12866,UBS (Lux) BS Glbl Corp $ EUR H I-X acc,52.8.LU0390868080,-1.44,3.08,-5.77,-0.61,6.92,-0.81,False,0.95,0.33,0.99
12867,UBS (Lux) BS Glbl Corp $ EUR H P- Acc,52.8.LU0390864923,-2.12,2.2,,,,,False,,,
12868,UBS (Lux) BS Glbl Corp $ EUR H Q- Acc,52.8.LU0390866548,-1.88,2.51,,,,,False,,,
12869,Vanguard Global Corp Bd Idx EUR H Acc,52.8.IE00BDFB5N63,-1.62,2.77,,,,,False,,,
12870,Vanguard Glb Corp Bd Idx Ins Pl € H Acc,52.8.IE00BDFB5F89,-1.57,2.85,-6.2,-1.27,7.0,-0.87,False,,-0.1,0.99
12871,Vanguard Global Credit Bond Ins EURH Acc,52.8.IE00BF7MPP31,-1.44,3.25,-5.58,0.1,7.0,-0.78,False,,0.5,0.99
12872,Vanguard Glb S/T Corp Bd Idx € H Acc,52.8.IE00BDFB7290,1.0,2.69,-2.56,,3.16,-0.93,False,,-0.35,0.42
12873,Vanguard Glb S/T Corp Bd Idx Ins Pl€HAcc,52.8.IE00BDFB6X37,1.04,2.76,-2.5,-0.46,3.16,-0.91,False,,-0.28,0.42
12874,Vanguard ESG Glb Corp Bd Idx EUR H Acc,52.8.IE00BNDS0V25,-1.8,,,,,,False,,,
12875,Vontobel Global Corp Bd AH Hdg EUR,52.8.LU1395536243,-3.1,1.76,-7.07,-1.83,7.38,-0.94,False,,-0.58,1.05
12876,Vontobel Global Corp Bd AHN Hdg EUR,52.8.LU1683488271,-2.63,2.4,-6.37,-1.15,7.4,-0.83,False,,0.19,1.05
12877,Vontobel Global Corp Bd H Hdg EUR,52.8.LU1395536755,-3.07,1.78,-7.09,-1.81,7.4,-0.94,False,,-0.58,1.05
12878,Vontobel Global Corp Bd HC Hdg EUR,52.8.LU1395536839,-3.57,1.2,-7.57,-2.31,7.39,-1.01,False,,-1.1,1.05
12879,Vontobel Global Corp Bd HG Hdg EUR,52.8.LU1291112750,-2.54,2.52,-6.3,-0.98,7.4,-0.82,False,,0.26,1.05
12880,Vontobel Global Corp Bd HI Hdg EUR,52.8.LU1395537050,-2.62,2.44,-6.35,-1.12,7.38,-0.83,False,,0.21,1.05
12881,Vontobel Global Corp Bd HN Hdg EUR,52.8.LU1734078667,-2.59,2.48,-6.36,-1.13,7.4,-0.83,False,,0.21,1.05
12882,Wellington Global Credit ESG EUR D AccH,52.8.IE00BK8LPD27,-3.01,0.54,-7.07,,6.82,-1.03,False,,-1.22,0.97
12883,Wellington Global Credit ESG EUR S AccH,52.8.IE00BF3MGQ50,-2.65,1.09,-6.63,,6.84,-0.96,False,,-0.73,0.97
12884,abrdnI-Global Corp Sust Bond I Acc H GBP,52.8.LU2177011470,1.15,4.65,-4.47,,9.29,-0.43,False,,-0.84,0.98
12885,BGF Global Corporate Bond A3 GBP Hedged,52.8.LU0816460231,1.6,5.34,-4.29,-0.55,9.24,-0.41,False,0.33,-0.54,1.0
12886,BGF Global Corporate Bond D2 GBP Hedged,52.8.LU1222731728,1.94,5.74,-3.83,-0.1,9.23,-0.37,False,,-0.08,1.0
12887,BGF Global Corporate Bond D5 GBP H,52.8.LU1814255474,2.05,5.87,-3.82,-0.12,9.25,-0.36,False,,-0.06,1.0
12888,BGF Global Corporate Bond I4 GBP Hedged,52.8.LU1403442228,2.16,5.97,-3.69,0.06,9.27,-0.35,False,,0.11,1.0
12889,BGF Global Corporate Bond X4 GBP Hedged,52.8.LU0414062165,2.6,6.54,-3.3,0.48,9.31,-0.3,False,1.38,0.57,1.01
12890,Blackstone LwCarbGlInGdCorpBdFGBPFdrHDis,52.8.IE000TBJIRX6,-0.9,3.58,,,,,False,,,
12891,Blackstone LwCarbGlInGdCorpBdFGBPInsHDis,52.8.IE00B7F9QP71,2.06,6.69,-3.1,0.71,9.26,-0.27,False,1.33,0.83,1.0
12892,BlueBay Glbl Inv Grd Corp Bd C GBP,52.8.LU1196383217,,,,,,,False,,,
12893,BlueBay Glbl Inv Grd Corp Bd I GBP,52.8.LU0847091070,,,,,5.98,0.81,False,,,
12894,BlueBay Glbl Inv Grd Corp Bd I GBP (QID),52.8.LU1578303254,-4.47,4.31,2.69,,10.33,0.31,False,,-0.67,1.22
12895,BlueBay Glbl Inv Grd Corp Bd Q GBP,52.8.LU1799624462,1.53,5.42,-3.46,0.78,9.66,-0.27,False,,0.83,1.03
12896,BlueBay Glbl Inv Grd Corp Bd Q GBP (QID),52.8.LU1247883587,1.51,5.39,-3.47,0.78,9.66,-0.27,False,,0.82,1.03
12897,BlueBay Glbl Inv Grd Corp Bd R GBP,52.8.LU2435675728,1.2,5.0,,,,,False,,,
12898,BlueBay Glbl Inv Grd Corp Bd R GBP (QID),52.8.LU2435675991,1.19,4.99,,,,,False,,,
12899,BlueBay Impact-Aligned Bd C GBP Acc,52.8.LU2342975971,-0.62,4.31,,,,,False,,,
12900,BlueBay Impact-Aligned Bd C GBP (QIDiv),52.8.LU2342976193,-0.62,4.31,,,,,False,,,
12901,BlueBay Impact-Aligned Bd G GBP Acc,52.8.LU2333308927,-0.5,4.42,,,,,False,,,
12902,BlueBay Impact-Aligned Bd G GBP (QIDiv),52.8.LU2333309222,-0.5,4.46,,,,,False,,,
12903,BNY Mellon Effcnt Glb IG Corp BtGBPLAccH,52.8.IE00BK5X3H13,1.47,5.03,-3.82,,9.09,-0.37,False,,-0.32,0.96
12904,BNY Mellon Effcnt Glb IG Corp BtGBPWAccH,,3.83,6.89,,,,,False,,,
12905,BNY Mellon Global Credit GBP W Acc H,52.8.IE00BYZW5P87,1.37,6.11,-2.88,1.42,9.22,-0.25,False,,0.84,0.98
12906,Capital Group GlobCorpBd (LUX) Pdh-GBP,52.8.LU2553435640,0.88,,,,,,False,,,
12907,Capital Group GlobCorpBd (LUX) Sdh-GBP,52.8.LU2598654684,,,,,,,False,,,
12908,Capital Group GlobCorpBd (LUX) Zdh-GBP,52.8.LU2240842000,0.67,4.81,-4.11,,,,False,,,
12909,Capital Group GlobCorpBd (LUX) Zgdh-GBP,52.8.LU1830905425,0.84,4.88,-4.05,0.54,9.39,-0.37,False,,-0.08,1.02
12910,Capital Group GlobCorpBd (LUX) Zh-GBP,52.8.LU2240840996,0.77,4.86,-4.11,,,,False,,,
12911,Capital Group GlobCorpBd (LUX) ZLdh-GBP,52.8.LU1912617559,0.85,5.0,-3.95,,9.35,-0.35,False,,0.08,1.02
12912,Capital Group GlobCorpBd (LUX) ZLh-GBP,52.8.LU1907540576,,,,,,,False,,,
12913,EdRF Investment Grade Credit A GBP H,52.8.LU1080014373,-0.62,2.59,-5.17,-1.74,9.96,-0.46,False,,-1.16,1.03
12914,EdRF Investment Grade Credit B GBP H,52.8.LU1080014969,-0.59,2.63,-5.02,-1.65,9.93,-0.45,False,,-1.02,1.03
12915,GlobalAccess Glbl Corp Bd I Acc GBP Hdg,52.8.IE00B3N39096,0.56,4.27,-4.33,-0.32,9.24,-0.41,False,0.88,-0.68,0.97
12916,GlobalAccess Glbl Corp Bd M Acc GBP Hdg,52.8.IE00B3N1R431,0.6,4.44,-4.18,-0.17,9.12,-0.4,False,,-0.58,0.96
12917,GlobalAccess Glbl Corp Bd Z Acc GBP Hdg,52.8.IE00B5L3P969,-0.36,3.12,-5.24,-1.29,9.18,-0.51,False,-0.11,-1.6,0.97
12918,GS Glbl Crdt (Hdg) I Inc GBP Hdg,52.8.LU0496145607,2.28,6.24,-3.49,1.12,9.78,-0.28,False,1.54,0.96,1.08
12919,GS Glbl Crdt (Hdg) R Acc GBP Hdg,52.8.LU1698129340,2.35,6.24,-3.56,1.07,9.79,-0.29,False,,0.88,1.08
12920,GS Glbl Crdt (Hdg) R Inc GBP Hdg,52.8.LU0849716427,2.28,6.14,-3.57,1.06,9.79,-0.29,True,1.45,0.91,1.08
12921,iShares ESG Scrn Gl CorpBd Idx D GBPH D,52.8.IE00BJN4RF59,1.14,5.05,-3.8,,9.13,-0.36,False,,-0.13,0.98
12922,iShares ESG Scrn Gl CorpBd Idx Fl GBPH A,52.8.IE00BJN4S634,1.24,5.2,,,,,False,,,
12923,JPM Global Corp Bd B (acc) GBP H,,1.69,7.38,,,,,False,,,
12924,JPM Global Corp Bd C (dist) GBP H,52.8.LU0423858918,1.04,4.12,-3.79,0.04,9.09,-0.35,False,1.11,-0.11,0.97
12925,JPM Global Corp Bd I (dist) GBP H,,-2.45,-1.21,-4.81,,8.63,-0.46,False,,-0.23,1.05
12926,JPM Global Corp Bd I2 (inc) GBP H,52.8.LU1727354877,1.15,4.25,-3.67,0.16,9.1,-0.34,False,,0.02,0.97
12927,Man GLG GlInGd Opports I H GBP Acc,52.8.IE0009XKM2Z8,12.83,20.41,,,,,False,,,
12928,Man GLG GlInGd Opports IF H GBP Acc,52.8.IE0006C92Y45,13.05,20.69,,,,,False,,,
12929,Man GLG GlInGd Opports IF H GBP NetDistQ,52.8.IE000UFXFSI1,13.04,20.68,,,,,False,,,
12930,Man GLG Sust Strat Inc I H GBP Cap,52.8.IE000AIARQE3,1.55,6.48,,,,,False,,,
12931,MFS Meridian Global Credit WH1 GBP,52.8.LU0583242135,2.1,10.08,-5.05,-0.33,11.7,-0.36,False,,1.35,1.37
12932,New Capital Glbl Val Crdt GBP Acc,52.8.IE0033116686,1.36,6.76,-3.15,-0.34,9.24,-0.28,False,0.53,0.23,0.92
12933,New Capital Glbl Val Crdt GBP Inc,52.8.IE00B3LM8Q72,1.28,6.61,-3.47,-0.53,9.22,-0.31,False,0.46,-0.09,0.92
12934,New Capital Glbl Val Crdt GBP X Acc,52.8.IE00BYT3RK67,1.79,7.27,-2.61,0.22,9.24,-0.22,False,,0.78,0.92
12935,Ninety One GSF InvGrdCorpBd A Inc2 GBP H,52.8.LU0412230061,-0.17,4.21,-5.98,-0.97,10.7,-0.49,False,-0.03,-0.88,1.19
12936,PIMCO GIS Climate Bond Instl GBP H Acc,52.8.IE00BLH0Z268,2.14,5.35,-3.19,,8.66,-0.32,False,,-0.45,0.84
12937,PIMCO GIS Climate Bond Instl GBP H Inc,52.8.IE00BNC0CZ77,2.16,5.27,,,,,False,,,
12938,PIMCO GIS Glb IG Crdt ESG Ins GBPH Acc,52.8.IE00BDTMDT74,0.88,4.83,-4.08,0.09,9.24,-0.38,False,,-0.32,0.99
12939,PIMCO GIS Glb IG Crdt ESG Ins GBPH Inc,52.8.IE00BK8XVN07,0.79,4.85,-4.1,,9.18,-0.39,False,,-0.38,0.98
12940,PIMCO GIS GlInGd Crdt E GBPH Inc,52.8.IE00B65YMD51,0.77,4.41,-5.06,-1.59,9.14,-0.5,False,0.09,-1.49,0.96
12941,PIMCO GIS GlInGd Crdt Instl GBPH Acc,52.8.IE00B0HZNB91,1.53,5.47,-4.19,-0.69,9.16,-0.4,False,0.99,-0.56,0.96
12942,PIMCO GIS GlInGd Crdt Instl GBPH Inc,52.8.IE00B3BMD843,1.55,5.47,-4.18,-0.69,9.14,-0.4,False,1.0,-0.57,0.96
12943,PIMCO GIS GlInGd Crdt Inv GBPH Inc,52.8.IE00B3KQH309,1.27,5.12,-4.53,-1.04,9.15,-0.44,False,0.64,-0.92,0.96
12944,PIMCO GIS GlInGd Crdt W GBP H Acc,52.8.IE00BLCB6G53,1.67,5.5,-4.1,,9.13,-0.39,False,,-0.5,0.96
12945,PIMCO GIS GlInGd Crdt W GBP H Inc,52.8.IE00BLCB6H60,1.59,5.65,-4.1,,9.16,-0.38,False,,-0.41,0.97
12946,PIMCO GIS Lw Dur GlInGd CrdtIns GBPH Acc,52.8.IE00BJTCP043,3.8,4.98,0.01,0.64,6.21,0.01,False,,-0.26,0.4
12947,PIMCO GIS Lw Dur GlInGd CrdtIns GBPHDis,52.8.IE000UY48P02,3.83,4.96,,,,,False,,,
12948,RobecoSAM Global SDG Credits GH £,52.8.LU2055796648,0.38,5.47,-4.49,,9.58,-0.42,False,,-0.41,1.06
12949,RobecoSAM Global SDG Credits IEH £,52.8.LU2055796481,0.47,5.57,-4.43,,9.59,-0.42,False,,-0.37,1.06
12950,Rubrics Global Credit UCITS C GBP,52.8.IE00BHCR9339,2.45,3.6,-0.58,0.2,6.69,-0.07,False,,-0.32,0.48
12951,Rubrics Global Credit UCITS F GBP,52.8.IE00BCRY5R01,1.83,2.83,-1.32,-0.56,6.69,-0.18,False,0.83,-1.06,0.48
12952,Rubrics Global Credit UCITS K GBP,52.8.IE00BD87SZ41,2.29,3.4,-0.78,0.01,6.69,-0.1,False,,-0.52,0.48
12953,Rubrics Global Credit UCITS PC GBP,,4.23,-3.38,-0.12,0.79,6.69,0.06,True,,0.04,0.47
12954,Rubrics Global Credit UCITS PF GBP,,3.79,-4.07,-0.87,0.03,6.69,-0.05,True,1.25,-0.72,0.47
12955,Schroder ISF Glb Corp Bd C Acc GBP Hdg,52.8.LU2448034582,1.27,4.43,,,,,False,,,
12956,Schroder ISF Glb Corp Bd I Acc GBP H,52.8.LU2022035153,1.79,5.13,-3.29,,9.31,-0.29,False,,0.58,1.0
12957,Threadneedle (Lux) Glbl Corp Bd ZGH,52.8.LU1062008823,1.38,5.51,-4.26,0.38,9.89,-0.37,False,,0.18,1.09
12958,Vanguard Glb Corp Bd Idx £ H Acc,52.8.IE00BDFB5M56,1.43,5.12,-3.98,-0.16,9.32,-0.37,False,,-0.21,1.0
12959,Vanguard Global Corp Bd Idx GBP H Dist,52.8.IE00BDFB5K33,1.42,5.17,,,,,False,,,
12960,Vanguard Glb Corp Bd Idx Ins Pl £ H Acc,52.8.IE00BDFB5D65,1.48,5.19,-3.91,-0.09,9.32,-0.36,False,,-0.14,1.0
12961,Vanguard Glb Corp Bd Idx Ins Pl £ H Dist,52.8.IE000MRSHTF3,1.47,,,,,,False,,,
12962,Vanguard Global Credit Bond Ins GBPH Acc,52.8.IE0007XHW766,1.61,5.63,,,,,False,,,
12963,Vanguard Global Credit Bond Inv GBPH Acc,52.8.IE00BYV1RG46,1.56,5.56,-3.34,1.35,9.38,-0.3,False,,0.39,0.99
12964,Vanguard Global Credit Bond Inv GBPH Inc,52.8.IE00BYV1RH52,1.57,5.55,-3.34,,9.38,-0.3,False,,0.38,0.99
12965,Vanguard Glb S/T Corp Bd Idx £ H Acc,52.8.IE00BDFB7639,4.13,5.04,-0.13,0.73,6.36,-0.03,False,,-0.36,0.42
12966,Vanguard Glb S/T Corp Bd Idx Ins Pl£HAcc,52.8.IE00BDFB6W20,4.21,5.13,-0.06,0.79,6.36,-0.02,False,,-0.28,0.42
12967,Vanguard ESG Glb Corp Bd Idx GBP H Acc,52.8.IE00BNDS1195,1.24,,,,,,False,,,
12968,Vanguard ESG Glb Corp Bd Idx GBP H Dist,52.8.IE00BNDS1203,1.26,,,,,,False,,,
12969,Vanguard ESG Glb Corp Bd Idx Ins Pl£HAcc,52.8.IE00BNDS1310,1.31,,,,,,False,,,
12970,Vanguard ESG Glb Corp Bd Idx InsPl£HDist,52.8.IE00BNDS1427,1.3,,,,,,False,,,
12971,abrdnI-Global Corp Sust Bond A Acc EUR,52.8.LU2305568813,-0.09,-3.23,,,,,False,,,
12972,abrdnI-Global Corp Sust Bond I Acc USD,52.8.LU2177011637,0.29,-2.1,-1.75,,7.02,-0.24,False,,-0.96,0.99
12973,abrdnII- Gbl Cp Bd A Acc USD,52.8.LU0636596651,0.0,-2.59,-1.98,1.17,6.9,-0.28,False,3.96,-1.35,0.98
12974,Allspring (Lux) WW ClmTrGlblIGC AUSDAcc,52.8.LU1826612449,1.11,-2.74,,,,,False,,,
12975,Allspring (Lux) WW ClmTrGlblIGC IUSDAcc,52.8.LU1826612522,1.51,-2.25,,,,,False,,,
